   1.9953E+00   2.1544E+00   1.1492E-01  0.0131
   2.1544E+00   2.3263E+00   1.1952E-01  0.0126
   2.3263E+00   2.5119E+00   1.2468E-01  0.0120
   2.5119E+00   2.7123E+00   1.3016E-01  0.0115
   2.7123E+00   2.9286E+00   1.3568E-01  0.0110
   2.9286E+00   3.1623E+00   1.4097E-01  0.0106
   3.1623E+00   3.4145E+00   1.4577E-01  0.0104
   3.4145E+00   3.6869E+00   1.4983E-01  0.0102
   3.6869E+00   3.9811E+00   1.5297E-01  0.0101
   3.9811E+00   4.2987E+00   1.5502E-01  0.0100
   4.2987E+00   4.6416E+00   1.5583E-01  0.0100
   4.6416E+00   5.0119E+00   1.5530E-01  0.0101
   5.0119E+00   5.4117E+00   1.5337E-01  0.0101
   5.4117E+00   5.8434E+00   1.5005E-01  0.0103
   5.8434E+00   6.3096E+00   1.4542E-01  0.0105
   6.3096E+00   6.8129E+00   1.3964E-01  0.0107
   6.8129E+00   7.3564E+00   1.3293E-01  0.0112
   7.3564E+00   7.9433E+00   1.2557E-01  0.0118
   7.9433E+00   8.5770E+00   1.1788E-01  0.0126
   8.5770E+00   9.2612E+00   1.1019E-01  0.0136
   9.2612E+00   1.0000E+01   1.0282E-01  0.0149
   1.0000E+01   1.0798E+01   9.6032E-02  0.0165
   1.0798E+01   1.1659E+01   9.0040E-02  0.0183
   1.1659E+01   1.2589E+01   8.4973E-02  0.0202
   1.2589E+01   1.3594E+01   8.0871E-02  0.0222
   1.3594E+01   1.4678E+01   7.7681E-02  0.0242
   1.4678E+01   1.5849E+01   7.5288E-02  0.0261
   1.5849E+01   1.7113E+01   7.3576E-02  0.0279
   1.7113E+01   1.8478E+01   7.2493E-02  0.0295
   1.8478E+01   1.9953E+01   7.2056E-02  0.0311
   1.9953E+01   2.1544E+01   7.2299E-02  0.0326
   2.1544E+01   2.3263E+01   7.3216E-02  0.0340
   2.3263E+01   2.5119E+01   7.4776E-02  0.0353
   2.5119E+01   2.7123E+01   7.6920E-02  0.0365
   2.7123E+01   2.9286E+01   7.9529E-02  0.0375
   2.9286E+01   3.1623E+01   8.2405E-02  0.0382
   3.1623E+01   3.4145E+01   8.5387E-02  0.0389
   3.4145E+01   3.6869E+01   8.8599E-02  0.0396
   3.6869E+01   3.9811E+01   9.2294E-02  0.0404
   3.9811E+01   4.2987E+01   9.6529E-02  0.0412
   4.2987E+01   4.6416E+01   1.0134E-01  0.0420
   4.6416E+01   5.0119E+01   1.0663E-01  0.0427
   5.0119E+01   5.4117E+01   1.1213E-01  0.0435
   5.4117E+01   5.8434E+01   1.1801E-01  0.0443
   5.8434E+01   6.3096E+01   1.2354E-01  0.0453
   6.3096E+01   6.8129E+01   1.2737E-01  0.0467
   6.8129E+01   7.3564E+01   1.3025E-01  0.0487
   7.3564E+01   7.9433E+01   1.3263E-01  0.0510
   7.9433E+01   8.5770E+01   1.2969E-01  0.0535
   8.5770E+01   9.2612E+01   1.2168E-01  0.0568
   9.2612E+01   1.0000E+02   1.0900E-01  0.0609
   1.0000E+02   1.0798E+02   9.1759E-02  0.0667
   1.0798E+02   1.1659E+02   6.8085E-02  0.0725
   1.1659E+02   1.2589E+02   4.7398E-02  0.0898
   1.2589E+02   1.3594E+02   4.5212E-02  0.0979
   1.3594E+02   1.4678E+02   4.5762E-02  0.1012
   1.4678E+02   1.5849E+02   4.6212E-02  0.1040
   1.5849E+02   1.7113E+02   4.6289E-02  0.1060
   1.7113E+02   1.8478E+02   4.6751E-02  0.1099
   1.8478E+02   1.9953E+02   4.7605E-02  0.1130
   1.9953E+02   2.1544E+02   4.7979E-02  0.1154
   2.1544E+02   2.3263E+02   4.7738E-02  0.1170
   2.3263E+02   2.5119E+02   4.7733E-02  0.1184
   2.5119E+02   2.7123E+02   4.7901E-02  0.1211
   2.7123E+02   2.9286E+02   4.8501E-02  0.1233
   2.9286E+02   3.1623E+02   4.7460E-02  0.1226
   3.1623E+02   3.4145E+02   4.6080E-02  0.1270
   3.4145E+02   3.6869E+02   4.5699E-02  0.1343
   3.6869E+02   3.9811E+02   4.7125E-02  0.1402
   3.9811E+02   4.2987E+02   5.0277E-02  0.1446
   4.2987E+02   4.6416E+02   5.4740E-02  0.1495
   4.6416E+02   5.0119E+02   5.9822E-02  0.1560
   5.0119E+02   5.4117E+02   6.5630E-02  0.1624
   5.4117E+02   5.8434E+02   7.1670E-02  0.1678
   5.8434E+02   6.3096E+02   7.3937E-02  0.1737
   6.3096E+02   6.8129E+02   7.3402E-02  0.1800
   6.8129E+02   7.3564E+02   7.1883E-02  0.1865
   7.3564E+02   7.9433E+02   6.7574E-02  0.2014
   7.9433E+02   8.5770E+02   6.1028E-02  0.2185
   8.5770E+02   9.2612E+02   5.2104E-02  0.2449
   9.2612E+02   1.0000E+03   4.8727E-02  0.2626
   1.0000E+03   1.0798E+03   4.4297E-02  0.2877
   1.0798E+03   1.1659E+03   3.5861E-02  0.3116
   1.1659E+03   1.2589E+03   2.0146E-02  0.3832
   1.2589E+03   1.3594E+03   3.8886E-03  0.6501
   1.3594E+03   1.4678E+03   3.0880E-05  0.9749
   1.4678E+03   1.5849E+03   5.0104E-08  1.0000
   1.5849E+03   1.7113E+03   0.0000E+00  0.0000
   1.7113E+03   1.8478E+03   0.0000E+00  0.0000
   1.8478E+03   1.9953E+03   0.0000E+00  0.0000
   1.9953E+03   2.1544E+03   0.0000E+00  0.0000
   2.1544E+03   2.3263E+03   0.0000E+00  0.0000
   2.3263E+03   2.5119E+03   0.0000E+00  0.0000
   2.5119E+03   2.7123E+03   0.0000E+00  0.0000
   2.7123E+03   2.9286E+03   0.0000E+00  0.0000
   2.9286E+03   3.1623E+03   0.0000E+00  0.0000
   3.1623E+03   3.4145E+03   0.0000E+00  0.0000
   3.4145E+03   3.6869E+03   0.0000E+00  0.0000
   3.6869E+03   3.9811E+03   0.0000E+00  0.0000
