[ T-SED ]
    title = microdosimetric_spectra_water_photon_PHITS
     mesh =  reg            # mesh type is region-wise
      reg = 1
  se-type =    3            # se-mesh is log given by emin, emax and ne
     emin =  1.0000000E-02  # minimum value of e-mesh points
     emax =   10000.00      # maximum value of e-mesh points
#    edel =  7.6752836E-02  # mesh width of e-mesh points
       ne =  180            # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-02  1.07978E-02  1.16591E-02  1.25893E-02  1.35936E-02
#           1.46780E-02  1.58489E-02  1.71133E-02  1.84785E-02  1.99526E-02
#           2.15443E-02  2.32631E-02  2.51189E-02  2.71227E-02  2.92864E-02
#           3.16228E-02  3.41455E-02  3.68695E-02  3.98107E-02  4.29866E-02
#           4.64159E-02  5.01187E-02  5.41170E-02  5.84341E-02  6.30957E-02
#           6.81292E-02  7.35642E-02  7.94328E-02  8.57696E-02  9.26119E-02
#           1.00000E-01  1.07978E-01  1.16591E-01  1.25893E-01  1.35936E-01
#           1.46780E-01  1.58489E-01  1.71133E-01  1.84785E-01  1.99526E-01
#           2.15443E-01  2.32631E-01  2.51189E-01  2.71227E-01  2.92864E-01
#           3.16228E-01  3.41455E-01  3.68695E-01  3.98107E-01  4.29866E-01
#           4.64159E-01  5.01187E-01  5.41170E-01  5.84341E-01  6.30957E-01
#           6.81292E-01  7.35642E-01  7.94328E-01  8.57696E-01  9.26119E-01
#           1.00000E+00  1.07978E+00  1.16591E+00  1.25893E+00  1.35936E+00
#           1.46780E+00  1.58489E+00  1.71133E+00  1.84785E+00  1.99526E+00
#           2.15443E+00  2.32631E+00  2.51189E+00  2.71227E+00  2.92864E+00
#           3.16228E+00  3.41455E+00  3.68695E+00  3.98107E+00  4.29866E+00
#           4.64159E+00  5.01187E+00  5.41170E+00  5.84341E+00  6.30957E+00
#           6.81292E+00  7.35642E+00  7.94328E+00  8.57696E+00  9.26119E+00
#           1.00000E+01  1.07978E+01  1.16591E+01  1.25893E+01  1.35936E+01
#           1.46780E+01  1.58489E+01  1.71133E+01  1.84785E+01  1.99526E+01
#           2.15443E+01  2.32631E+01  2.51189E+01  2.71227E+01  2.92864E+01
#           3.16228E+01  3.41455E+01  3.68695E+01  3.98107E+01  4.29866E+01
#           4.64159E+01  5.01187E+01  5.41170E+01  5.84341E+01  6.30957E+01
#           6.81292E+01  7.35642E+01  7.94328E+01  8.57696E+01  9.26119E+01
#           1.00000E+02  1.07978E+02  1.16591E+02  1.25893E+02  1.35936E+02
#           1.46780E+02  1.58489E+02  1.71133E+02  1.84785E+02  1.99526E+02
#           2.15443E+02  2.32631E+02  2.51189E+02  2.71227E+02  2.92864E+02
#           3.16228E+02  3.41455E+02  3.68695E+02  3.98107E+02  4.29866E+02
#           4.64159E+02  5.01187E+02  5.41170E+02  5.84341E+02  6.30957E+02
#           6.81292E+02  7.35642E+02  7.94328E+02  8.57696E+02  9.26119E+02
#           1.00000E+03  1.07978E+03  1.16591E+03  1.25893E+03  1.35936E+03
#           1.46780E+03  1.58489E+03  1.71133E+03  1.84785E+03  1.99526E+03
#           2.15443E+03  2.32631E+03  2.51189E+03  2.71227E+03  2.92864E+03
#           3.16228E+03  3.41455E+03  3.68695E+03  3.98107E+03  4.29866E+03
#           4.64159E+03  5.01187E+03  5.41170E+03  5.84341E+03  6.30957E+03
#           6.81292E+03  7.35642E+03  7.94328E+03  8.57696E+03  9.26119E+03
#           1.00000E+04
  se-unit =    2            # se-unit is [keV/um]
     unit =    8            # unit is z*d(z) [Gy]
    model =    1            # (D=0) Model type 0:old, 1:new
    cdiam = -1.000000       # (D=1.0) diameter of target sphere [um]
   letmat =   -5            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
 material =  all            # (D=all) number of specific material
     axis =  sed            # axis of output
     file = ydy_gold.out    # file name of output for the above axis
     part =  all      
# kf/name :  0        
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         183 (  0)           0 (  0)         183 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =      1

x: y [keV/um]  
y: y*d(y) [keV/um]               
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l n  
#  sed-lwr      sed-upr        all       r.err 
   1.0000E-02   1.0798E-02   2.7195E-06  0.0007
   1.0798E-02   1.1659E-02   3.1864E-06  0.0007
   1.1659E-02   1.2589E-02   3.7326E-06  0.0007
   1.2589E-02   1.3594E-02   4.3707E-06  0.0007
   1.3594E-02   1.4678E-02   5.1153E-06  0.0007
   1.4678E-02   1.5849E-02   5.9825E-06  0.0007
   1.5849E-02   1.7113E-02   6.9907E-06  0.0007
   1.7113E-02   1.8478E-02   8.1609E-06  0.0007
   1.8478E-02   1.9953E-02   9.5151E-06  0.0007
   1.9953E-02   2.1544E-02   1.1072E-05  0.0007
   2.1544E-02   2.3263E-02   1.2848E-05  0.0007
   2.3263E-02   2.5119E-02   1.4856E-05  0.0007
   2.5119E-02   2.7123E-02   1.7099E-05  0.0007
   2.7123E-02   2.9286E-02   1.9569E-05  0.0007
   2.9286E-02   3.1623E-02   2.2246E-05  0.0008
   3.1623E-02   3.4145E-02   2.5094E-05  0.0008
   3.4145E-02   3.6869E-02   2.8071E-05  0.0008
   3.6869E-02   3.9811E-02   3.1135E-05  0.0008
   3.9811E-02   4.2987E-02   3.4269E-05  0.0009
   4.2987E-02   4.6416E-02   3.7499E-05  0.0009
   4.6416E-02   5.0119E-02   4.0911E-05  0.0010
   5.0119E-02   5.4117E-02   4.4663E-05  0.0010
   5.4117E-02   5.8434E-02   4.8988E-05  0.0011
   5.8434E-02   6.3096E-02   5.4209E-05  0.0011
   6.3096E-02   6.8129E-02   6.0707E-05  0.0012
   6.8129E-02   7.3564E-02   6.9011E-05  0.0012
   7.3564E-02   7.9433E-02   7.9683E-05  0.0012
   7.9433E-02   8.5770E-02   9.3235E-05  0.0012
   8.5770E-02   9.2612E-02   1.1011E-04  0.0011
   9.2612E-02   1.0000E-01   1.3079E-04  0.0011
   1.0000E-01   1.0798E-01   1.5584E-04  0.0010
   1.0798E-01   1.1659E-01   1.8604E-04  0.0010
   1.1659E-01   1.2589E-01   2.2241E-04  0.0009
   1.2589E-01   1.3594E-01   2.6624E-04  0.0009
   1.3594E-01   1.4678E-01   3.1911E-04  0.0008
   1.4678E-01   1.5849E-01   3.8298E-04  0.0008
   1.5849E-01   1.7113E-01   4.6026E-04  0.0007
   1.7113E-01   1.8478E-01   5.5390E-04  0.0007
   1.8478E-01   1.9953E-01   6.6749E-04  0.0007
   1.9953E-01   2.1544E-01   8.0548E-04  0.0006
   2.1544E-01   2.3263E-01   9.7330E-04  0.0006
   2.3263E-01   2.5119E-01   1.1776E-03  0.0006
   2.5119E-01   2.7123E-01   1.4267E-03  0.0006
   2.7123E-01   2.9286E-01   1.7306E-03  0.0006
   2.9286E-01   3.1623E-01   2.1017E-03  0.0006
   3.1623E-01   3.4145E-01   2.5553E-03  0.0006
   3.4145E-01   3.6869E-01   3.1099E-03  0.0006
   3.6869E-01   3.9811E-01   3.7885E-03  0.0006
   3.9811E-01   4.2987E-01   4.6189E-03  0.0006
   4.2987E-01   4.6416E-01   5.6355E-03  0.0006
   4.6416E-01   5.0119E-01   6.8798E-03  0.0006
   5.0119E-01   5.4117E-01   8.4027E-03  0.0006
   5.4117E-01   5.8434E-01   1.0266E-02  0.0006
   5.8434E-01   6.3096E-01   1.2543E-02  0.0006
   6.3096E-01   6.8129E-01   1.5326E-02  0.0006
   6.8129E-01   7.3564E-01   1.8720E-02  0.0006
   7.3564E-01   7.9433E-01   2.2855E-02  0.0006
   7.9433E-01   8.5770E-01   2.7884E-02  0.0006
   8.5770E-01   9.2612E-01   3.3986E-02  0.0006
   9.2612E-01   1.0000E+00   4.1368E-02  0.0006
   1.0000E+00   1.0798E+00   5.0271E-02  0.0006
   1.0798E+00   1.1659E+00   6.0967E-02  0.0006
   1.1659E+00   1.2589E+00   7.3757E-02  0.0006
   1.2589E+00   1.3594E+00   8.8971E-02  0.0006
   1.3594E+00   1.4678E+00   1.0696E-01  0.0006
   1.4678E+00   1.5849E+00   1.2807E-01  0.0006
   1.5849E+00   1.7113E+00   1.5265E-01  0.0006
   1.7113E+00   1.8478E+00   1.8101E-01  0.0006
   1.8478E+00   1.9953E+00   2.1339E-01  0.0006
   1.9953E+00   2.1544E+00   2.4992E-01  0.0006
   2.1544E+00   2.3263E+00   2.9060E-01  0.0006
   2.3263E+00   2.5119E+00   3.3522E-01  0.0006
   2.5119E+00   2.7123E+00   3.8331E-01  0.0006
   2.7123E+00   2.9286E+00   4.3412E-01  0.0006
   2.9286E+00   3.1623E+00   4.8650E-01  0.0006
   3.1623E+00   3.4145E+00   5.3886E-01  0.0006
   3.4145E+00   3.6869E+00   5.8916E-01  0.0006
   3.6869E+00   3.9811E+00   6.3492E-01  0.0006
   3.9811E+00   4.2987E+00   6.7330E-01  0.0006
   4.2987E+00   4.6416E+00   7.0136E-01  0.0006
   4.6416E+00   5.0119E+00   7.1635E-01  0.0006
   5.0119E+00   5.4117E+00   7.1612E-01  0.0006
   5.4117E+00   5.8434E+00   6.9955E-01  0.0006
   5.8434E+00   6.3096E+00   6.6678E-01  0.0006
   6.3096E+00   6.8129E+00   6.1939E-01  0.0006
   6.8129E+00   7.3564E+00   5.6019E-01  0.0006
   7.3564E+00   7.9433E+00   4.9294E-01  0.0006
   7.9433E+00   8.5770E+00   4.2187E-01  0.0006
   8.5770E+00   9.2612E+00   3.5112E-01  0.0006
   9.2612E+00   1.0000E+01   2.8432E-01  0.0006
   1.0000E+01   1.0798E+01   2.2427E-01  0.0006
   1.0798E+01   1.1659E+01   1.7269E-01  0.0006
   1.1659E+01   1.2589E+01   1.3026E-01  0.0007
   1.2589E+01   1.3594E+01   9.6736E-02  0.0008
   1.3594E+01   1.4678E+01   7.1191E-02  0.0009
   1.4678E+01   1.5849E+01   5.2287E-02  0.0011
   1.5849E+01   1.7113E+01   3.8567E-02  0.0013
   1.7113E+01   1.8478E+01   2.8673E-02  0.0017
   1.8478E+01   1.9953E+01   2.1485E-02  0.0023
   1.9953E+01   2.1544E+01   1.6164E-02  0.0030
   2.1544E+01   2.3263E+01   1.2135E-02  0.0041
   2.3263E+01   2.5119E+01   9.0319E-03  0.0055
   2.5119E+01   2.7123E+01   6.6274E-03  0.0075
   2.7123E+01   2.9286E+01   4.7810E-03  0.0104
   2.9286E+01   3.1623E+01   3.3966E-03  0.0147
   3.1623E+01   3.4145E+01   2.3973E-03  0.0213
   3.4145E+01   3.6869E+01   1.7064E-03  0.0311
   3.6869E+01   3.9811E+01   1.2417E-03  0.0438
   3.9811E+01   4.2987E+01   9.2839E-04  0.0585
   4.2987E+01   4.6416E+01   7.2051E-04  0.0761
   4.6416E+01   5.0119E+01   5.9253E-04  0.0959
   5.0119E+01   5.4117E+01   5.1882E-04  0.1150
   5.4117E+01   5.8434E+01   4.6456E-04  0.1318
   5.8434E+01   6.3096E+01   4.1893E-04  0.1505
   6.3096E+01   6.8129E+01   3.8714E-04  0.1701
   6.8129E+01   7.3564E+01   3.5994E-04  0.1879
   7.3564E+01   7.9433E+01   3.2732E-04  0.2075
   7.9433E+01   8.5770E+01   2.8917E-04  0.2365
   8.5770E+01   9.2612E+01   2.5257E-04  0.2689
