[ T-SED ]
    title = microdosimetric_spectra_water_photon_PHITS
     mesh =  reg            # mesh type is region-wise
      reg = 1
  se-type =    3            # se-mesh is log given by emin, emax and ne
     emin =  1.0000000E-02  # minimum value of e-mesh points
     emax =   10000.00      # maximum value of e-mesh points
#    edel =  7.6752836E-02  # mesh width of e-mesh points
       ne =  180            # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-02  1.07978E-02  1.16591E-02  1.25893E-02  1.35936E-02
#           1.46780E-02  1.58489E-02  1.71133E-02  1.84785E-02  1.99526E-02
#           2.15443E-02  2.32631E-02  2.51189E-02  2.71227E-02  2.92864E-02
#           3.16228E-02  3.41455E-02  3.68695E-02  3.98107E-02  4.29866E-02
#           4.64159E-02  5.01187E-02  5.41170E-02  5.84341E-02  6.30957E-02
#           6.81292E-02  7.35642E-02  7.94328E-02  8.57696E-02  9.26119E-02
#           1.00000E-01  1.07978E-01  1.16591E-01  1.25893E-01  1.35936E-01
#           1.46780E-01  1.58489E-01  1.71133E-01  1.84785E-01  1.99526E-01
#           2.15443E-01  2.32631E-01  2.51189E-01  2.71227E-01  2.92864E-01
#           3.16228E-01  3.41455E-01  3.68695E-01  3.98107E-01  4.29866E-01
#           4.64159E-01  5.01187E-01  5.41170E-01  5.84341E-01  6.30957E-01
#           6.81292E-01  7.35642E-01  7.94328E-01  8.57696E-01  9.26119E-01
#           1.00000E+00  1.07978E+00  1.16591E+00  1.25893E+00  1.35936E+00
#           1.46780E+00  1.58489E+00  1.71133E+00  1.84785E+00  1.99526E+00
#           2.15443E+00  2.32631E+00  2.51189E+00  2.71227E+00  2.92864E+00
#           3.16228E+00  3.41455E+00  3.68695E+00  3.98107E+00  4.29866E+00
#           4.64159E+00  5.01187E+00  5.41170E+00  5.84341E+00  6.30957E+00
#           6.81292E+00  7.35642E+00  7.94328E+00  8.57696E+00  9.26119E+00
#           1.00000E+01  1.07978E+01  1.16591E+01  1.25893E+01  1.35936E+01
#           1.46780E+01  1.58489E+01  1.71133E+01  1.84785E+01  1.99526E+01
#           2.15443E+01  2.32631E+01  2.51189E+01  2.71227E+01  2.92864E+01
#           3.16228E+01  3.41455E+01  3.68695E+01  3.98107E+01  4.29866E+01
#           4.64159E+01  5.01187E+01  5.41170E+01  5.84341E+01  6.30957E+01
#           6.81292E+01  7.35642E+01  7.94328E+01  8.57696E+01  9.26119E+01
#           1.00000E+02  1.07978E+02  1.16591E+02  1.25893E+02  1.35936E+02
#           1.46780E+02  1.58489E+02  1.71133E+02  1.84785E+02  1.99526E+02
#           2.15443E+02  2.32631E+02  2.51189E+02  2.71227E+02  2.92864E+02
#           3.16228E+02  3.41455E+02  3.68695E+02  3.98107E+02  4.29866E+02
#           4.64159E+02  5.01187E+02  5.41170E+02  5.84341E+02  6.30957E+02
#           6.81292E+02  7.35642E+02  7.94328E+02  8.57696E+02  9.26119E+02
#           1.00000E+03  1.07978E+03  1.16591E+03  1.25893E+03  1.35936E+03
#           1.46780E+03  1.58489E+03  1.71133E+03  1.84785E+03  1.99526E+03
#           2.15443E+03  2.32631E+03  2.51189E+03  2.71227E+03  2.92864E+03
#           3.16228E+03  3.41455E+03  3.68695E+03  3.98107E+03  4.29866E+03
#           4.64159E+03  5.01187E+03  5.41170E+03  5.84341E+03  6.30957E+03
#           6.81292E+03  7.35642E+03  7.94328E+03  8.57696E+03  9.26119E+03
#           1.00000E+04
  se-unit =    2            # se-unit is [keV/um]
     unit =    7            # unit is z*f(z) [dimensionless]
    model =    1            # (D=0) Model type 0:old, 1:new
    cdiam = -1.000000       # (D=1.0) diameter of target sphere [um]
   letmat =   -5            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
 material =  all            # (D=all) number of specific material
     axis =  sed            # axis of output
     file = yfy_gold.out    # file name of output for the above axis
     part =  all      
# kf/name :  0        
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         183 (  0)           0 (  0)         183 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =      1

x: y [keV/um]  
y: y*f(y) [dimensionless]        
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l n  
#  sed-lwr      sed-upr        all       r.err 
   1.0000E-02   1.0798E-02   1.9607E-03  0.0019
   1.0798E-02   1.1659E-02   2.1404E-03  0.0019
   1.1659E-02   1.2589E-02   2.3381E-03  0.0019
   1.2589E-02   1.3594E-02   2.5557E-03  0.0019
   1.3594E-02   1.4678E-02   2.7952E-03  0.0019
   1.4678E-02   1.5849E-02   3.0589E-03  0.0019
   1.5849E-02   1.7113E-02   3.3489E-03  0.0019
   1.7113E-02   1.8478E-02   3.6674E-03  0.0019
   1.8478E-02   1.9953E-02   4.0167E-03  0.0019
   1.9953E-02   2.1544E-02   4.3988E-03  0.0019
   2.1544E-02   2.3263E-02   4.8153E-03  0.0019
   2.3263E-02   2.5119E-02   5.2675E-03  0.0019
   2.5119E-02   2.7123E-02   5.7566E-03  0.0019
   2.7123E-02   2.9286E-02   6.2834E-03  0.0019
   2.9286E-02   3.1623E-02   6.8501E-03  0.0019
   3.1623E-02   3.4145E-02   7.4607E-03  0.0019
   3.4145E-02   3.6869E-02   8.1243E-03  0.0019
   3.6869E-02   3.9811E-02   8.8568E-03  0.0019
   3.9811E-02   4.2987E-02   9.6836E-03  0.0019
   4.2987E-02   4.6416E-02   1.0638E-02  0.0019
   4.6416E-02   5.0119E-02   1.1757E-02  0.0019
   5.0119E-02   5.4117E-02   1.3075E-02  0.0019
   5.4117E-02   5.8434E-02   1.4614E-02  0.0019
   5.8434E-02   6.3096E-02   1.6390E-02  0.0019
   6.3096E-02   6.8129E-02   1.8420E-02  0.0019
   6.8129E-02   7.3564E-02   2.0727E-02  0.0019
   7.3564E-02   7.9433E-02   2.3349E-02  0.0019
   7.9433E-02   8.5770E-02   2.6328E-02  0.0019
   8.5770E-02   9.2612E-02   2.9711E-02  0.0019
   9.2612E-02   1.0000E-01   3.3557E-02  0.0019
   1.0000E-01   1.0798E-01   3.7926E-02  0.0019
   1.0798E-01   1.1659E-01   4.2891E-02  0.0019
   1.1659E-01   1.2589E-01   4.8530E-02  0.0019
   1.2589E-01   1.3594E-01   5.4931E-02  0.0019
   1.3594E-01   1.4678E-01   6.2191E-02  0.0019
   1.4678E-01   1.5849E-01   7.0417E-02  0.0019
   1.5849E-01   1.7113E-01   7.9726E-02  0.0019
   1.7113E-01   1.8478E-01   9.0241E-02  0.0019
   1.8478E-01   1.9953E-01   1.0210E-01  0.0019
   1.9953E-01   2.1544E-01   1.1543E-01  0.0018
   2.1544E-01   2.3263E-01   1.3038E-01  0.0018
   2.3263E-01   2.5119E-01   1.4708E-01  0.0018
   2.5119E-01   2.7123E-01   1.6566E-01  0.0018
   2.7123E-01   2.9286E-01   1.8622E-01  0.0018
   2.9286E-01   3.1623E-01   2.0884E-01  0.0018
   3.1623E-01   3.4145E-01   2.3354E-01  0.0018
   3.4145E-01   3.6869E-01   2.6029E-01  0.0018
   3.6869E-01   3.9811E-01   2.8894E-01  0.0018
   3.9811E-01   4.2987E-01   3.1925E-01  0.0018
   4.2987E-01   4.6416E-01   3.5083E-01  0.0018
   4.6416E-01   5.0119E-01   3.8310E-01  0.0018
   5.0119E-01   5.4117E-01   4.1532E-01  0.0018
   5.4117E-01   5.8434E-01   4.4652E-01  0.0018
   5.8434E-01   6.3096E-01   4.7555E-01  0.0018
   6.3096E-01   6.8129E-01   5.0111E-01  0.0018
   6.8129E-01   7.3564E-01   5.2181E-01  0.0018
   7.3564E-01   7.9433E-01   5.3627E-01  0.0018
   7.9433E-01   8.5770E-01   5.4327E-01  0.0018
   8.5770E-01   9.2612E-01   5.4190E-01  0.0018
   9.2612E-01   1.0000E+00   5.3169E-01  0.0018
   1.0000E+00   1.0798E+00   5.1274E-01  0.0018
   1.0798E+00   1.1659E+00   4.8577E-01  0.0018
   1.1659E+00   1.2589E+00   4.5207E-01  0.0018
   1.2589E+00   1.3594E+00   4.1340E-01  0.0018
   1.3594E+00   1.4678E+00   3.7180E-01  0.0018
   1.4678E+00   1.5849E+00   3.2938E-01  0.0018
   1.5849E+00   1.7113E+00   2.8810E-01  0.0018
   1.7113E+00   1.8478E+00   2.4957E-01  0.0019
   1.8478E+00   1.9953E+00   2.1496E-01  0.0019
   1.9953E+00   2.1544E+00   1.8494E-01  0.0019
   2.1544E+00   2.3263E+00   1.5968E-01  0.0019
   2.3263E+00   2.5119E+00   1.3896E-01  0.0019
   2.5119E+00   2.7123E+00   1.2226E-01  0.0019
   2.7123E+00   2.9286E+00   1.0887E-01  0.0019
   2.9286E+00   3.1623E+00   9.8038E-02  0.0019
   3.1623E+00   3.4145E+00   8.9042E-02  0.0019
   3.4145E+00   3.6869E+00   8.1273E-02  0.0019
   3.6869E+00   3.9811E+00   7.4257E-02  0.0019
   3.9811E+00   4.2987E+00   6.7662E-02  0.0019
   4.2987E+00   4.6416E+00   6.1284E-02  0.0019
   4.6416E+00   5.0119E+00   5.5024E-02  0.0019
   5.0119E+00   5.4117E+00   4.8859E-02  0.0019
   5.4117E+00   5.8434E+00   4.2820E-02  0.0019
   5.8434E+00   6.3096E+00   3.6971E-02  0.0020
   6.3096E+00   6.8129E+00   3.1393E-02  0.0020
   6.8129E+00   7.3564E+00   2.6172E-02  0.0020
   7.3564E+00   7.9433E+00   2.1388E-02  0.0021
   7.9433E+00   8.5770E+00   1.7102E-02  0.0022
   8.5770E+00   9.2612E+00   1.3359E-02  0.0023
   9.2612E+00   1.0000E+01   1.0175E-02  0.0024
   1.0000E+01   1.0798E+01   7.5433E-03  0.0027
   1.0798E+01   1.1659E+01   5.4334E-03  0.0032
   1.1659E+01   1.2589E+01   3.7959E-03  0.0041
   1.2589E+01   1.3594E+01   2.5685E-03  0.0056
   1.3594E+01   1.4678E+01   1.6814E-03  0.0081
   1.4678E+01   1.5849E+01   1.0648E-03  0.0122
   1.5849E+01   1.7113E+01   6.5309E-04  0.0188
   1.7113E+01   1.8478E+01   3.8959E-04  0.0296
   1.8478E+01   1.9953E+01   2.2814E-04  0.0475
   1.9953E+01   2.1544E+01   1.3351E-04  0.0768
   2.1544E+01   2.3263E+01   8.0414E-05  0.1227
   2.3263E+01   2.5119E+01   5.1869E-05  0.1879
   2.5119E+01   2.7123E+01   3.7125E-05  0.2655
   2.7123E+01   2.9286E+01   2.9535E-05  0.3352
   2.9286E+01   3.1623E+01   2.4882E-05  0.3757
   3.1623E+01   3.4145E+01   2.1011E-05  0.3868
   3.4145E+01   3.6869E+01   1.7883E-05  0.4024
   3.6869E+01   3.9811E+01   1.6600E-05  0.4457
   3.9811E+01   4.2987E+01   1.6928E-05  0.4913
   4.2987E+01   4.6416E+01   1.8121E-05  0.5185
   4.6416E+01   5.0119E+01   1.8978E-05  0.5291
   5.0119E+01   5.4117E+01   1.7145E-05  0.5244
   5.4117E+01   5.8434E+01   1.1609E-05  0.5176
   5.8434E+01   6.3096E+01   6.4993E-06  0.5020
   6.3096E+01   6.8129E+01   4.7473E-06  0.6143
   6.8129E+01   7.3564E+01   4.8950E-06  0.6858
   7.3564E+01   7.9433E+01   5.5972E-06  0.6991
   7.9433E+01   8.5770E+01   6.5088E-06  0.7009
   8.5770E+01   9.2612E+01   7.5845E-06  0.7011
   9.2612E+01   1.0000E+02   8.8354E-06  0.7010
   1.0000E+02   1.0798E+02   1.0270E-05  0.7007
   1.0798E+02   1.1659E+02   1.1822E-05  0.6995
   1.1659E+02   1.2589E+02   1.3030E-05  0.6950
   1.2589E+02   1.3594E+02   1.2325E-05  0.6950
   1.3594E+02   1.4678E+02   9.9553E-06  0.7953
   1.4678E+02   1.5849E+02   8.3612E-06  0.9047
   1.5849E+02   1.7113E+02   5.0983E-06  0.8947
   1.7113E+02   1.8478E+02   2.9338E-06  0.8212
   1.8478E+02   1.9953E+02   2.8161E-06  0.7938
   1.9953E+02   2.1544E+02   3.1214E-06  0.7861
   2.1544E+02   2.3263E+02   3.2351E-06  0.7673
   2.3263E+02   2.5119E+02   3.0786E-06  0.7365
   2.5119E+02   2.7123E+02   2.7789E-06  0.7096
   2.7123E+02   2.9286E+02   2.3988E-06  0.7266
   2.9286E+02   3.1623E+02   2.0537E-06  0.8567
   3.1623E+02   3.4145E+02   2.0838E-06  0.9682
   3.4145E+02   3.6869E+02   2.3606E-06  0.9959
   3.6869E+02   3.9811E+02   2.7420E-06  0.9996
   3.9811E+02   4.2987E+02   3.1956E-06  1.0000
   4.2987E+02   4.6416E+02   3.7238E-06  1.0000
   4.6416E+02   5.0119E+02   4.3020E-06  1.0000
   5.0119E+02   5.4117E+02   4.6038E-06  1.0000
   5.4117E+02   5.8434E+02   4.2661E-06  1.0000
   5.8434E+02   6.3096E+02   3.3541E-06  1.0000
   6.3096E+02   6.8129E+02   2.1357E-06  1.0000
   6.8129E+02   7.3564E+02   6.6523E-07  1.0000
   7.3564E+02   7.9433E+02   1.6880E-08  1.0000
   7.9433E+02   8.5770E+02   1.2184E-10  1.0000
   8.5770E+02   9.2612E+02   0.0000E+00  0.0000
   9.2612E+02   1.0000E+03   0.0000E+00  0.0000
   1.0000E+03   1.0798E+03   0.0000E+00  0.0000
   1.0798E+03   1.1659E+03   0.0000E+00  0.0000
   1.1659E+03   1.2589E+03   0.0000E+00  0.0000
   1.2589E+03   1.3594E+03   0.0000E+00  0.0000
   1.3594E+03   1.4678E+03   0.0000E+00  0.0000
   1.4678E+03   1.5849E+03   0.0000E+00  0.0000
   1.5849E+03   1.7113E+03   0.0000E+00  0.0000
   1.7113E+03   1.8478E+03   0.0000E+00  0.0000
   1.8478E+03   1.9953E+03   0.0000E+00  0.0000
   1.9953E+03   2.1544E+03   0.0000E+00  0.0000
   2.1544E+03   2.3263E+03   0.0000E+00  0.0000
   2.3263E+03   2.5119E+03   0.0000E+00  0.0000
   2.5119E+03   2.7123E+03   0.0000E+00  0.0000
   2.7123E+03   2.9286E+03   0.0000E+00  0.0000
   2.9286E+03   3.1623E+03   0.0000E+00  0.0000
   3.1623E+03   3.4145E+03   0.0000E+00  0.0000
   3.4145E+03   3.6869E+03   0.0000E+00  0.0000
   3.6869E+03   3.9811E+03   0.0000E+00  0.0000
   3.9811E+03   4.2987E+03   0.0000E+00  0.0000
   4.2987E+03   4.6416E+03   0.0000E+00  0.0000
   4.6416E+03   5.0119E+03   0.0000E+00  0.0000
   5.0119E+03   5.4117E+03   0.0000E+00  0.0000
   5.4117E+03   5.8434E+03   0.0000E+00  0.0000
   5.8434E+03   6.3096E+03   0.0000E+00  0.0000
   6.3096E+03   6.8129E+03   0.0000E+00  0.0000
   6.8129E+03   7.3564E+03   0.0000E+00  0.0000
   7.3564E+03   7.9433E+03   0.0000E+00  0.0000
   7.9433E+03   8.5770E+03   0.0000E+00  0.0000
   8.5770E+03   9.2612E+03   0.0000E+00  0.0000
   9.2612E+03   1.0000E+04   0.0000E+00  0.0000

#          Frequency mean    2.2401E+00

'no. =  1,  reg  =      1'
msuc: {\huge microdosimetric_spectra_water_photon_PHITS}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.32}
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.00000000000000000E+06 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+06 # Total history number or Total batch number
# maxcas =      100000 # History / Batch, only used for istdev=1
# bitrseed = 0101101000001110011101111011110101001001010001111010111000101101 # bit data of rseed
