   5.8434E+02   6.3096E+02   7.7924E-03  0.1075
   6.3096E+02   6.8129E+02   7.3039E-03  0.1190
   6.8129E+02   7.3564E+02   7.2963E-03  0.1291
   7.3564E+02   7.9433E+02   6.6617E-03  0.1402
   7.9433E+02   8.5770E+02   5.5417E-03  0.1541
   8.5770E+02   9.2612E+02   4.4673E-03  0.1788
   9.2612E+02   1.0000E+03   3.5743E-03  0.2106
   1.0000E+03   1.0798E+03   1.3520E-03  0.2533
   1.0798E+03   1.1659E+03   7.4118E-04  0.3623
   1.1659E+03   1.2589E+03   7.0006E-04  0.4327
   1.2589E+03   1.3594E+03   7.0262E-04  0.4253
   1.3594E+03   1.4678E+03   6.2486E-04  0.4476
   1.4678E+03   1.5849E+03   6.0623E-04  0.4470
   1.5849E+03   1.7113E+03   4.6421E-04  0.4803
   1.7113E+03   1.8478E+03   3.8668E-04  0.6271
   1.8478E+03   1.9953E+03   4.8680E-04  0.6271
   1.9953E+03   2.1544E+03   6.1285E-04  0.6271
   2.1544E+03   2.3263E+03   7.7153E-04  0.6271
   2.3263E+03   2.5119E+03   7.2864E-04  0.6000
   2.5119E+03   2.7123E+03   4.2976E-04  0.6001
   2.7123E+03   2.9286E+03   2.3580E-04  1.0000
   2.9286E+03   3.1623E+03   2.9686E-04  1.0000
   3.1623E+03   3.4145E+03   3.7372E-04  1.0000
   3.4145E+03   3.6869E+03   4.7049E-04  1.0000
   3.6869E+03   3.9811E+03   0.0000E+00  0.0000
   3.9811E+03   4.2987E+03   0.0000E+00  0.0000
   4.2987E+03   4.6416E+03   0.0000E+00  0.0000
   4.6416E+03   5.0119E+03   0.0000E+00  0.0000
   5.0119E+03   5.4117E+03   0.0000E+00  0.0000
   5.4117E+03   5.8434E+03   0.0000E+00  0.0000
   5.8434E+03   6.3096E+03   0.0000E+00  0.0000
   6.3096E+03   6.8129E+03   0.0000E+00  0.0000
   6.8129E+03   7.3564E+03   0.0000E+00  0.0000
   7.3564E+03   7.9433E+03   0.0000E+00  0.0000
   7.9433E+03   8.5770E+03   0.0000E+00  0.0000
   8.5770E+03   9.2612E+03   0.0000E+00  0.0000
   9.2612E+03   1.0000E+04   0.0000E+00  0.0000

#               Dose mean    2.5937E+01

'no. =  1,  reg  =      1'
msuc: {\huge microdosimetric_spectra_water_photon_PHITS}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.32}
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.00000000000000000E+08 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+08 # Total history number or Total batch number
# maxcas =    10000000 # History / Batch, only used for istdev=1
# bitrseed = 1101111110010001010110101011011001110100110101001100011110000101 # bit data of rseed
