   1.9953E+00   2.1544E+00   2.2338E-02  0.0376
   2.1544E+00   2.3263E+00   2.1421E-02  0.0361
   2.3263E+00   2.5119E+00   2.0628E-02  0.0346
   2.5119E+00   2.7123E+00   1.9900E-02  0.0331
   2.7123E+00   2.9286E+00   1.9186E-02  0.0318
   2.9286E+00   3.1623E+00   1.8450E-02  0.0307
   3.1623E+00   3.4145E+00   1.7665E-02  0.0299
   3.4145E+00   3.6869E+00   1.6815E-02  0.0292
   3.6869E+00   3.9811E+00   1.5903E-02  0.0288
   3.9811E+00   4.2987E+00   1.4933E-02  0.0286
   4.2987E+00   4.6416E+00   1.3913E-02  0.0284
   4.6416E+00   5.0119E+00   1.2856E-02  0.0284
   5.0119E+00   5.4117E+00   1.1774E-02  0.0284
   5.4117E+00   5.8434E+00   1.0686E-02  0.0286
   5.8434E+00   6.3096E+00   9.6088E-03  0.0289
   6.3096E+00   6.8129E+00   8.5598E-03  0.0295
   6.8129E+00   7.3564E+00   7.5567E-03  0.0303
   7.3564E+00   7.9433E+00   6.6152E-03  0.0314
   7.9433E+00   8.5770E+00   5.7487E-03  0.0329
   8.5770E+00   9.2612E+00   4.9676E-03  0.0350
   9.2612E+00   1.0000E+01   4.2787E-03  0.0376
   1.0000E+01   1.0798E+01   3.6840E-03  0.0408
   1.0798E+01   1.1659E+01   3.1813E-03  0.0447
   1.1659E+01   1.2589E+01   2.7634E-03  0.0492
   1.2589E+01   1.3594E+01   2.4190E-03  0.0540
   1.3594E+01   1.4678E+01   2.1340E-03  0.0591
   1.4678E+01   1.5849E+01   1.8939E-03  0.0641
   1.5849E+01   1.7113E+01   1.6870E-03  0.0691
   1.7113E+01   1.8478E+01   1.5060E-03  0.0743
   1.8478E+01   1.9953E+01   1.3462E-03  0.0798
   1.9953E+01   2.1544E+01   1.2031E-03  0.0857
   2.1544E+01   2.3263E+01   1.0716E-03  0.0919
   2.3263E+01   2.5119E+01   9.4919E-04  0.0986
   2.5119E+01   2.7123E+01   8.3668E-04  0.1059
   2.7123E+01   2.9286E+01   7.3760E-04  0.1138
   2.9286E+01   3.1623E+01   6.5764E-04  0.1223
   3.1623E+01   3.4145E+01   5.9792E-04  0.1307
   3.4145E+01   3.6869E+01   5.5219E-04  0.1378
   3.6869E+01   3.9811E+01   5.1839E-04  0.1460
   3.9811E+01   4.2987E+01   4.9655E-04  0.1541
   4.2987E+01   4.6416E+01   4.7312E-04  0.1583
   4.6416E+01   5.0119E+01   4.3549E-04  0.1613
   5.0119E+01   5.4117E+01   3.8226E-04  0.1662
   5.4117E+01   5.8434E+01   3.3071E-04  0.1779
   5.8434E+01   6.3096E+01   3.0301E-04  0.1949
   6.3096E+01   6.8129E+01   3.0167E-04  0.2085
   6.8129E+01   7.3564E+01   2.9733E-04  0.2134
   7.3564E+01   7.9433E+01   2.7316E-04  0.2274
   7.9433E+01   8.5770E+01   2.4754E-04  0.2418
   8.5770E+01   9.2612E+01   2.2210E-04  0.2538
   9.2612E+01   1.0000E+02   1.8183E-04  0.2645
   1.0000E+02   1.0798E+02   1.3297E-04  0.2887
   1.0798E+02   1.1659E+02   8.7915E-05  0.3487
   1.1659E+02   1.2589E+02   7.0575E-05  0.4177
   1.2589E+02   1.3594E+02   6.8824E-05  0.4376
   1.3594E+02   1.4678E+02   6.9865E-05  0.4463
   1.4678E+02   1.5849E+02   7.2041E-05  0.4537
   1.5849E+02   1.7113E+02   7.4987E-05  0.4614
   1.7113E+02   1.8478E+02   7.7187E-05  0.4650
   1.8478E+02   1.9953E+02   7.2031E-05  0.4402
   1.9953E+02   2.1544E+02   6.1729E-05  0.4076
   2.1544E+02   2.3263E+02   5.5637E-05  0.4036
   2.3263E+02   2.5119E+02   5.2326E-05  0.4085
   2.5119E+02   2.7123E+02   5.1895E-05  0.3976
   2.7123E+02   2.9286E+02   4.6954E-05  0.3992
   2.9286E+02   3.1623E+02   4.2731E-05  0.3971
   3.1623E+02   3.4145E+02   3.8522E-05  0.3877
   3.4145E+02   3.6869E+02   3.2526E-05  0.4001
   3.6869E+02   3.9811E+02   2.7690E-05  0.4126
   3.9811E+02   4.2987E+02   2.3852E-05  0.4375
   4.2987E+02   4.6416E+02   2.1995E-05  0.4659
   4.6416E+02   5.0119E+02   2.2683E-05  0.4775
   5.0119E+02   5.4117E+02   2.3768E-05  0.5071
   5.4117E+02   5.8434E+02   2.6150E-05  0.5333
   5.8434E+02   6.3096E+02   2.9413E-05  0.5260
   6.3096E+02   6.8129E+02   2.9350E-05  0.5077
   6.8129E+02   7.3564E+02   2.8107E-05  0.5340
   7.3564E+02   7.9433E+02   2.8589E-05  0.5825
   7.9433E+02   8.5770E+02   2.5758E-05  0.5679
   8.5770E+02   9.2612E+02   2.1683E-05  0.5506
   9.2612E+02   1.0000E+03   1.6025E-05  0.7141
   1.0000E+03   1.0798E+03   1.3242E-05  0.7851
   1.0798E+03   1.1659E+03   8.6971E-06  0.7097
   1.1659E+03   1.2589E+03   4.8357E-06  0.9597
   1.2589E+03   1.3594E+03   2.8981E-06  0.9997
   1.3594E+03   1.4678E+03   1.2419E-09  0.9999
   1.4678E+03   1.5849E+03   0.0000E+00  0.0000
   1.5849E+03   1.7113E+03   0.0000E+00  0.0000
   1.7113E+03   1.8478E+03   0.0000E+00  0.0000
   1.8478E+03   1.9953E+03   0.0000E+00  0.0000
   1.9953E+03   2.1544E+03   0.0000E+00  0.0000
   2.1544E+03   2.3263E+03   0.0000E+00  0.0000
   2.3263E+03   2.5119E+03   0.0000E+00  0.0000
   2.5119E+03   2.7123E+03   0.0000E+00  0.0000
   2.7123E+03   2.9286E+03   0.0000E+00  0.0000
