   1.9953E+00   2.1544E+00   2.1018E-02  0.0040
   2.1544E+00   2.3263E+00   2.3366E-02  0.0040
   2.3263E+00   2.5119E+00   2.5898E-02  0.0041
   2.5119E+00   2.7123E+00   2.8607E-02  0.0041
   2.7123E+00   2.9286E+00   3.1477E-02  0.0041
   2.9286E+00   3.1623E+00   3.4442E-02  0.0041
   3.1623E+00   3.4145E+00   3.7429E-02  0.0041
   3.4145E+00   3.6869E+00   4.0461E-02  0.0041
   3.6869E+00   3.9811E+00   4.3501E-02  0.0041
   3.9811E+00   4.2987E+00   4.6506E-02  0.0041
   4.2987E+00   4.6416E+00   4.9421E-02  0.0042
   4.6416E+00   5.0119E+00   5.2178E-02  0.0042
   5.0119E+00   5.4117E+00   5.4695E-02  0.0042
   5.4117E+00   5.8434E+00   5.6881E-02  0.0042
   5.8434E+00   6.3096E+00   5.8643E-02  0.0042
   6.3096E+00   6.8129E+00   5.9893E-02  0.0042
   6.8129E+00   7.3564E+00   6.0556E-02  0.0043
   7.3564E+00   7.9433E+00   6.0572E-02  0.0043
   7.9433E+00   8.5770E+00   5.9905E-02  0.0043
   8.5770E+00   9.2612E+00   5.8542E-02  0.0043
   9.2612E+00   1.0000E+01   5.6494E-02  0.0044
   1.0000E+01   1.0798E+01   5.3802E-02  0.0044
   1.0798E+01   1.1659E+01   5.0532E-02  0.0044
   1.1659E+01   1.2589E+01   4.6775E-02  0.0045
   1.2589E+01   1.3594E+01   4.2650E-02  0.0046
   1.3594E+01   1.4678E+01   3.8306E-02  0.0047
   1.4678E+01   1.5849E+01   3.3913E-02  0.0048
   1.5849E+01   1.7113E+01   2.9645E-02  0.0051
   1.7113E+01   1.8478E+01   2.5665E-02  0.0054
   1.8478E+01   1.9953E+01   2.2104E-02  0.0060
   1.9953E+01   2.1544E+01   1.9062E-02  0.0068
   2.1544E+01   2.3263E+01   1.6616E-02  0.0078
   2.3263E+01   2.5119E+01   1.4818E-02  0.0091
   2.5119E+01   2.7123E+01   1.3700E-02  0.0104
   2.7123E+01   2.9286E+01   1.3283E-02  0.0116
   2.9286E+01   3.1623E+01   1.3580E-02  0.0126
   3.1623E+01   3.4145E+01   1.4577E-02  0.0132
   3.4145E+01   3.6869E+01   1.6240E-02  0.0132
   3.6869E+01   3.9811E+01   1.8556E-02  0.0124
   3.9811E+01   4.2987E+01   2.1558E-02  0.0110
   4.2987E+01   4.6416E+01   2.5392E-02  0.0094
   4.6416E+01   5.0119E+01   3.0355E-02  0.0079
   5.0119E+01   5.4117E+01   3.6802E-02  0.0069
   5.4117E+01   5.8434E+01   4.5046E-02  0.0061
   5.8434E+01   6.3096E+01   5.5461E-02  0.0056
   6.3096E+01   6.8129E+01   6.8568E-02  0.0053
   6.8129E+01   7.3564E+01   8.5104E-02  0.0051
   7.3564E+01   7.9433E+01   1.0602E-01  0.0049
   7.9433E+01   8.5770E+01   1.3247E-01  0.0048
   8.5770E+01   9.2612E+01   1.6582E-01  0.0048
   9.2612E+01   1.0000E+02   2.0781E-01  0.0048
   1.0000E+02   1.0798E+02   2.6066E-01  0.0047
   1.0798E+02   1.1659E+02   3.2727E-01  0.0047
   1.1659E+02   1.2589E+02   4.1127E-01  0.0047
   1.2589E+02   1.3594E+02   5.1710E-01  0.0047
   1.3594E+02   1.4678E+02   6.5030E-01  0.0047
   1.4678E+02   1.5849E+02   8.1793E-01  0.0047
   1.5849E+02   1.7113E+02   1.0285E+00  0.0047
   1.7113E+02   1.8478E+02   1.2907E+00  0.0047
   1.8478E+02   1.9953E+02   1.5991E+00  0.0047
   1.9953E+02   2.1544E+02   1.8212E+00  0.0047
   2.1544E+02   2.3263E+02   1.3016E+00  0.0047
   2.3263E+02   2.5119E+02   3.3698E-01  0.0049
   2.5119E+02   2.7123E+02   5.2803E-02  0.0097
   2.7123E+02   2.9286E+02   1.0619E-02  0.0422
   2.9286E+02   3.1623E+02   4.8620E-03  0.0909
   3.1623E+02   3.4145E+02   3.8067E-03  0.1152
   3.4145E+02   3.6869E+02   3.2522E-03  0.1283
   3.6869E+02   3.9811E+02   2.8359E-03  0.1427
   3.9811E+02   4.2987E+02   2.6180E-03  0.1568
   4.2987E+02   4.6416E+02   2.4640E-03  0.1680
   4.6416E+02   5.0119E+02   2.4438E-03  0.1785
   5.0119E+02   5.4117E+02   2.3038E-03  0.1906
   5.4117E+02   5.8434E+02   1.8303E-03  0.2019
   5.8434E+02   6.3096E+02   1.6352E-03  0.2361
   6.3096E+02   6.8129E+02   1.5540E-03  0.2514
   6.8129E+02   7.3564E+02   1.3969E-03  0.2671
   7.3564E+02   7.9433E+02   1.2657E-03  0.2952
   7.9433E+02   8.5770E+02   1.4473E-03  0.3108
   8.5770E+02   9.2612E+02   1.4037E-03  0.3225
   9.2612E+02   1.0000E+03   1.3763E-03  0.3671
   1.0000E+03   1.0798E+03   1.2016E-03  0.4001
   1.0798E+03   1.1659E+03   8.4216E-04  0.4864
   1.1659E+03   1.2589E+03   9.1554E-04  0.5369
   1.2589E+03   1.3594E+03   7.5622E-04  0.5389
   1.3594E+03   1.4678E+03   8.4258E-04  0.5840
   1.4678E+03   1.5849E+03   5.6706E-04  0.5954
   1.5849E+03   1.7113E+03   6.8055E-04  0.6225
   1.7113E+03   1.8478E+03   5.1521E-04  0.6401
   1.8478E+03   1.9953E+03   1.6041E-04  0.9974
   1.9953E+03   2.1544E+03   2.0142E-04  1.0000
   2.1544E+03   2.3263E+03   2.5357E-04  1.0000
   2.3263E+03   2.5119E+03   3.1922E-04  1.0000
   2.5119E+03   2.7123E+03   4.0188E-04  1.0000
   2.7123E+03   2.9286E+03   4.9904E-04  1.0000
   2.9286E+03   3.1623E+03   2.1181E-06  1.0000
   3.1623E+03   3.4145E+03   0.0000E+00  0.0000
   3.4145E+03   3.6869E+03   0.0000E+00  0.0000
   3.6869E+03   3.9811E+03   0.0000E+00  0.0000
   3.9811E+03   4.2987E+03   0.0000E+00  0.0000
   4.2987E+03   4.6416E+03   0.0000E+00  0.0000
   4.6416E+03   5.0119E+03   0.0000E+00  0.0000
   5.0119E+03   5.4117E+03   0.0000E+00  0.0000
   5.4117E+03   5.8434E+03   0.0000E+00  0.0000
   5.8434E+03   6.3096E+03   0.0000E+00  0.0000
   6.3096E+03   6.8129E+03   0.0000E+00  0.0000
   6.8129E+03   7.3564E+03   0.0000E+00  0.0000
   7.3564E+03   7.9433E+03   0.0000E+00  0.0000
   7.9433E+03   8.5770E+03   0.0000E+00  0.0000
   8.5770E+03   9.2612E+03   0.0000E+00  0.0000
   9.2612E+03   1.0000E+04   0.0000E+00  0.0000

#               Dose mean    1.5394E+02

'no. =  1,  reg  =      1'
msuc: {\huge microdosimetric_spectra_water_photon_PHITS}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.32}
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.00000000000000000E+06 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+06 # Total history number or Total batch number
# maxcas =      100000 # History / Batch, only used for istdev=1
# bitrseed = 0101101000001110011101111011110101001001010001111010111000101101 # bit data of rseed
